번호,종목코드,기업명,업종코드,업종,상장주식수(주),자본금(원),액면가(원),통화구분,대표전화,주소,총카운트
1,060310,3S,032902,특수 목적용 기계 제조업,"42,911,454","21,455,727,000","500",원(KRW),02-896-9474,서울특별시 금천구  시흥대로71길 30-1 ,1268
2,054620,APS홀딩스,116409,기타 금융업,"20,394,221","10,197,110,500","500",원(KRW),031-776-1800,경기도 화성시 동탄면 동탄산단9길 23-12 (동탄면),1268
3,265520,AP시스템,032902,특수 목적용 기계 제조업,"13,899,212","6,949,606,000","500",원(KRW),031-379-2700,경기도 화성시  동탄면 동탄산단8길 15-5 &nbsp,1268
4,211270,AP위성,032604,통신 및 방송 장비 제조업,"15,014,804","7,507,402,000","500",원(KRW),02-2026-7800,서울특별시 금천구 가산디지털2로 98 IT캐슬 2동 9층 &nbsp,1268
5,032040,C&S자산관리,147509,기타 사업지원 서비스업,"7,348,534","18,371,335,000","2,500",원(KRW),02  -732 -9676,"서울특별시 종로구  사직로 130 (적선동,적선현대제1빌딩제907호)",1268
6,130960,CJ E&M,106002,텔레비전 방송업,"38,732,089","193,660,445,000","5,000",원(KRW),02-371-5501,서울특별시 마포구  상암산로 66 CJ E&M CENTER ,1268
7,035760,CJ오쇼핑,106002,텔레비전 방송업,"6,215,518","31,077,590,000","5,000",원(KRW),02-2107-0114,서울특별시 서초구  과천대로 870-13 ,1268
8,051500,CJ프레시웨이,074603,음·식료품 및 담배 도매업,"11,871,586","11,871,586,000","1,000",원(KRW),02-2149-6007,경기도 용인시 기흥구  기곡로 32  ,1268
9,058820,CMG제약,032102,의약품 제조업,"108,887,244","54,443,622,000","500",원(KRW),02-3453-8816,서울특별시 강남구 도산대로66길 14 (청담동),1268
10,023460,CNH,116402,신탁업 및 집합투자업,"37,200,000","93,000,000,000","2,500",원(KRW),02-3287-0700,"경기도 부천시 원미구 상일로 120 411(상동,송내리더스텔)",1268
11,065770,CS,032604,통신 및 방송 장비 제조업,"18,835,150","9,417,575,000","500",원(KRW),031-622-3200,"경기도 성남시 분당구  판교로228번길 15  삼평동, 판교세븐벤처밸리1 씨에스동",1268
12,083660,CSA 코스믹,032202,플라스틱제품 제조업,"19,747,641","9,873,820,500","500",원(KRW),02-483-0077,서울특별시 강남구 학동로30길 20 -,1268
13,045890,DB라이텍,032804,전구 및 조명장치 제조업,"26,355,016","13,177,508,000","500",원(KRW),032-670-3000,경기도 부천시 오정구  산업로104번길 14 (오정동) 동부라이텍(주),1268
14,068790,DMS,032902,특수 목적용 기계 제조업,"22,937,487","11,468,743,500","500",원(KRW),031-8031-1133,경기도 용인시 기흥구 흥덕중앙로 120 유타워 6층 (영덕동),1268
15,241520,DSC인베스트먼트,116402,신탁업 및 집합투자업,"17,500,000","8,750,000,000","500",원(KRW),02-3453-3190,"서울특별시 강남구 역삼로 180, 4층(역삼동, 마루180) ",1268
16,037370,EG,074607,기타 전문 도매업,"7,500,000","7,500,000,000","1,000",원(KRW),041 -750 -7777,충청남도 금산군 추부면 서대산로 459 ,1268
17,079190,EMW,032604,통신 및 방송 장비 제조업,"30,784,199","15,392,099,500","500",원(KRW),02-2107-5500,"인천광역시 남동구  남동서로 155 (고잔동, 남동공단80블럭4로트)",1268
18,130500,GH신소재,031309,기타 섬유제품 제조업,"11,000,000","5,500,000,000","500",원(KRW),054-460-8100,경상북도 구미시  1공단로4길 141-54 ,1268
19,032860,GMR 머티리얼즈,053803,"해체, 선별 및 원료 재생업","67,558,840","33,779,420,000","500",원(KRW),02-3452-8449,충청남도 아산시 인주면 인주산단로 65 ,1268
20,900290,GRT,116409,기타 금융업,"67,375,000","770,089,223","0",중국위안(CNY),85236458129,"Room 01, 21F, Prosper Commercial Building, 9 Yin Chong Street, Kowloon, Hong Kong ",1268
21,083450,GST,032902,특수 목적용 기계 제조업,"9,317,745","4,658,872,500","500",원(KRW),031-371-2200,경기도 화성시 동탄면 동탄산단6길 15-13 ,1268
22,028150,GS홈쇼핑,106002,텔레비전 방송업,"6,562,500","32,812,500,000","5,000",원(KRW),02-2007-4153,서울특별시 영등포구  선유로 75 GS강서타워 (문래동6가),1268
23,078150,HB테크놀러지,032902,특수 목적용 기계 제조업,"78,990,426","39,495,213,000","500",원(KRW),031-332-0060,충청남도 아산시 음봉면 산동로 87 ,1268
24,036640,HRS,032002,합성고무 및 플라스틱 물질 제조업,"16,354,800","8,177,400,000","500",원(KRW),02  -780 -6156,경기도 평택시  팽성읍 추팔산단2길 7 ,1268
25,225430,IBKS제3호스팩,116601,금융 지원 서비스업,"4,500,000","450,000,000","100",원(KRW),02-6915-5342,"서울특별시 영등포구 국제금융로6길 11(여의도동, 삼덕빌딩) &nbsp",1268
26,254120,IBKS제5호스팩,116601,금융 지원 서비스업,"4,500,000","450,000,000","100",원(KRW),02-6915-5361,"서울특별시 영등포구 국제금융로6길 11, 9층(여의도동, 삼덕빌딩) ",1268
